"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",279,14,154,33,582
"BRAC",356,27,247,36,1050
"North Texas RAC",346,10,132,6,816
"Big Country RAC",257,3,96,15,559
"North Central Texas RAC",1733,228,2184,541,13042
"Northeast Texas RAC",425,41,98,24,571
"Piney Woods RAC",859,42,249,73,1880
"Deep East Texas RAC",147,7,120,40,396
"Far West Texas & Southern New Mexico RAC",387,63,303,164,1557
"Texas ""J"" RAC",594,22,266,39,826
"Concho Valley RAC",348,21,136,6,331
"Central Texas RAC",109,16,121,46,928
"Central Texas RAC",110,9,69,24,464
"Brazos Valley RAC",93,8,81,26,419
"Capital Area Trauma RAC",803,76,345,177,3321
"Southwest Texas RAC",742,80,817,257,5032
"Southeast Texas Trauma RAC",1721,113,1430,1009,12500
"East Texas Gulf Coast RAC",307,15,242,145,1388
"Golden Crescent RAC",255,32,69,33,292
"Seven Flags RAC",76,11,91,10,339
"Coastal Bend RAC",603,25,194,70,1026
"Lower Rio Grande Valley RAC",929,132,439,186,2175
