TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,956,250,9,150,21
B,1632,361,29,233,50
C,1229,297,7,102,7
D,882,226,4,102,10
E,15844,1981,234,2226,426
F,1030,379,42,89,18
G,2842,767,61,269,79
H,541,112,11,127,20
I,2086,363,30,255,77
J,1756,697,28,296,30
K,872,394,22,108,11
L,1106,104,8,115,42
M,659,170,15,72,17
N,554,76,2,56,33
O,4356,608,53,369,120
P,6336,792,103,788,161
Q,14429,1752,121,1393,611
R,1759,290,18,277,73
S,608,237,14,53,45
T,413,48,6,87,12
U,1757,748,49,196,44
V,2974,742,60,422,130
