"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1269,629,59,120,87,553
"B",1413,383,12,218,128,902
"C",688,305,16,107,36,347
"D",801,306,6,78,30,465
"E",13776,1980,295,1880,826,10970
"F",966,393,21,81,74,499
"G",2182,536,27,302,185,1461
"H",534,216,15,99,48,270
"I",1842,443,20,304,162,1237
"J",1347,640,42,230,52,655
"K",450,203,19,85,14,233
"L",1055,306,29,117,31,718
"M",515,193,12,58,50,272
"N",479,201,14,58,21,257
"O",3727,671,107,519,78,2978
"P",5882,1200,170,803,236,4446
"Q",13624,2154,226,1400,476,10994
"R",1865,428,19,235,136,1301
"S",451,177,36,74,50,224
"T",413,62,13,69,80,271
"U",1502,535,39,226,86,881
"V",3286,1186,111,423,306,1794
