"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1143,234,10,136,417
"B",1572,259,8,217,466
"C",1282,337,9,92,137
"D",910,246,0,72,138
"E",16361,1616,155,1820,2545
"F",1073,363,6,63,148
"G",2978,608,14,160,444
"H",603,123,5,105,81
"I",2408,402,52,272,819
"J",1792,549,37,241,294
"K",683,291,15,85,94
"L",1247,340,26,114,105
"M",609,103,0,52,117
"N",605,86,2,56,74
"O",4312,801,64,529,243
"P",6506,1016,121,777,639
"Q",13808,2109,116,1537,1430
"R",1982,215,11,215,255
"S",556,305,16,62,81
"T",515,32,3,58,143
"U",1676,617,48,199,142
"V",3491,969,67,408,339
