TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1036,250,16,102,178
B,1455,211,9,201,273
C,1196,209,5,117,124
D,995,211,0,80,185
E,16618,1141,68,1805,3564
F,854,118,1,45,207
G,2769,542,9,127,787
H,449,99,10,74,178
I,1989,233,14,255,114
J,1772,519,15,256,279
K,874,334,16,120,76
L,1136,90,4,111,249
M,610,54,0,37,213
N,599,20,0,67,158
O,4289,454,2,360,669
P,6849,670,77,590,1276
Q,15290,1350,81,1060,3412
R,1931,193,4,296,580
S,600,114,3,50,173
T,456,9,0,78,76
U,1418,115,0,112,479
V,2895,407,6,247,601
