"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",306,35,137,45,644
"BRAC",355,27,238,38,1054
"North Texas RAC",343,17,127,13,834
"Big Country RAC",285,15,109,11,572
"North Central Texas RAC",1938,218,2215,667,13161
"Northeast Texas RAC",416,38,95,18,559
"Piney Woods RAC",887,61,346,75,1920
"Deep East Texas RAC",204,13,116,29,364
"Far West Texas & Southern New Mexico RAC",397,67,307,189,1547
"Texas ""J"" RAC",647,32,276,32,836
"Concho Valley RAC",316,15,161,5,359
"Central Texas RAC",143,14,120,54,948
"Central Texas RAC",112,11,61,32,454
"Brazos Valley RAC",76,3,68,37,394
"Capital Area Trauma RAC",801,88,344,199,3501
"Southwest Texas RAC",972,125,858,248,4875
"Southeast Texas Trauma RAC",1831,119,1456,1142,12104
"East Texas Gulf Coast RAC",295,15,365,184,1461
"Golden Crescent RAC",275,21,70,25,293
"Seven Flags RAC",100,11,90,10,353
"Coastal Bend RAC",553,34,189,80,1078
"Lower Rio Grande Valley RAC",954,128,462,175,2175
