"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1127,291,12,154,241
"B",1515,264,12,268,338
"C",1223,275,7,95,148
"D",987,228,2,87,212
"E",16471,1434,66,1770,3764
"F",1120,332,4,72,191
"G",3094,665,21,232,585
"H",565,138,4,83,130
"I",2208,431,49,369,361
"J",1813,615,45,235,230
"K",841,293,11,91,109
"L",1442,326,24,131,226
"M",574,71,6,70,169
"N",639,77,3,54,126
"O",4427,755,34,498,532
"P",6688,885,72,665,1220
"Q",14849,1967,174,1543,2296
"R",2013,350,24,235,354
"S",621,240,7,67,106
"T",508,29,2,61,194
"U",1608,497,36,190,209
"V",3531,923,45,416,527
