TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1096,251,18,112,171
B,1473,223,10,173,253
C,1196,245,4,109,100
D,950,213,1,87,127
E,16657,1200,71,1823,3135
F,916,118,1,58,186
G,2817,505,9,178,723
H,599,107,5,79,156
I,2064,211,3,284,116
J,1683,531,16,274,205
K,859,291,6,132,70
L,1145,88,1,140,241
M,639,63,2,58,198
N,591,34,0,77,113
O,4378,540,4,379,526
P,6731,674,70,657,901
Q,15741,1335,62,1325,2616
R,2074,227,5,244,409
S,605,136,8,55,124
T,459,22,3,74,48
U,1336,43,3,151,322
V,2884,550,25,327,373
