TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,967,245,6,152,19
B,1500,323,23,255,26
C,1252,282,5,100,6
D,900,247,12,108,6
E,16320,1711,195,2149,336
F,1033,348,40,83,32
G,2864,718,18,240,49
H,608,162,13,118,13
I,2082,355,30,240,47
J,1740,636,36,272,13
K,865,336,23,102,0
L,1147,126,11,93,27
M,655,143,14,58,9
N,584,70,9,82,25
O,4483,658,82,363,78
P,6418,672,71,792,165
Q,14713,1764,122,1421,421
R,1768,273,21,257,51
S,596,196,9,54,16
T,467,30,0,71,13
U,1798,676,33,203,39
V,3089,738,40,440,105
