"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",301,33,134,42,660
"BRAC",366,38,272,59,1130
"North Texas RAC",357,10,128,16,809
"Big Country RAC",271,5,105,18,555
"North Central Texas RAC",1902,189,2190,873,13215
"Northeast Texas RAC",374,21,92,36,603
"Piney Woods RAC",861,44,339,125,1855
"Deep East Texas RAC",166,13,100,40,285
"Far West Texas & Southern New Mexico RAC",356,55,301,243,1618
"Texas ""J"" RAC",629,27,278,44,917
"Concho Valley RAC",344,19,151,7,324
"Central Texas RAC",154,20,109,44,878
"Central Texas RAC",152,7,66,31,420
"Brazos Valley RAC",100,1,68,39,392
"Capital Area Trauma RAC",632,60,346,249,3575
"Southwest Texas RAC",955,118,815,346,4892
"Southeast Texas Trauma RAC",1666,115,1412,1400,12487
"East Texas Gulf Coast RAC",305,12,352,197,1553
"Golden Crescent RAC",276,26,70,36,294
"Seven Flags RAC",85,14,97,29,329
"Coastal Bend RAC",504,30,171,98,1086
"Lower Rio Grande Valley RAC",961,188,438,247,2266
