TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,958,260,12,155,29
B,1520,384,31,231,50
C,1220,304,8,113,9
D,870,239,7,96,14
E,15510,2215,249,2264,476
F,1049,423,47,93,20
G,2857,867,52,260,83
H,562,149,13,130,14
I,2026,362,35,261,85
J,1662,702,41,292,33
K,883,393,25,102,8
L,1051,103,12,108,46
M,602,171,18,69,17
N,546,82,7,62,22
O,4238,660,66,363,102
P,6104,795,123,781,203
Q,13908,1998,194,1554,681
R,1675,299,18,249,80
S,600,233,17,61,49
T,398,44,4,74,12
U,1731,661,52,201,47
V,2953,837,74,423,142
