TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1030,265,18,103,173
B,1418,243,3,188,288
C,1165,219,0,118,129
D,900,191,0,71,173
E,15955,1316,93,1746,3521
F,830,126,0,55,218
G,2796,517,13,133,821
H,571,116,6,84,163
I,1921,239,3,264,125
J,1721,547,14,247,267
K,870,334,12,120,74
L,1157,123,4,147,212
M,601,58,0,33,217
N,579,35,0,72,153
O,4027,493,2,362,654
P,6535,670,71,608,1224
Q,14702,1421,42,998,3370
R,1870,159,2,257,529
S,583,133,4,59,170
T,406,16,3,80,62
U,1325,30,0,130,431
V,2880,513,22,265,546
