TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,988,258,15,154,27
B,1573,340,19,226,51
C,1259,298,7,102,12
D,911,222,4,100,12
E,16094,1843,215,2165,444
F,1055,403,43,96,24
G,2844,725,37,268,80
H,604,139,17,130,21
I,2168,368,40,260,80
J,1683,650,19,295,32
K,878,366,23,104,13
L,1100,111,14,110,42
M,593,135,6,63,19
N,591,63,6,61,28
O,4372,570,47,341,112
P,6277,696,92,768,178
Q,14517,1711,168,1566,619
R,1749,289,19,231,59
S,621,216,19,62,48
T,429,38,4,73,14
U,1737,634,38,203,44
V,3018,707,62,433,144
