TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,959,253,5,148,23
B,1578,403,32,255,20
C,1214,245,2,100,8
D,908,270,14,108,15
E,16263,1827,225,2150,404
F,1039,383,34,76,31
G,2861,694,36,226,61
H,500,139,12,95,13
I,2098,317,27,248,47
J,1730,659,25,268,12
K,877,369,23,104,2
L,1094,105,8,101,36
M,661,138,11,68,10
N,568,87,3,78,32
O,4709,703,48,364,67
P,6374,724,85,805,167
Q,14398,1664,122,1433,419
R,1860,294,31,233,62
S,595,205,18,53,21
T,503,32,0,66,18
U,1720,585,34,183,35
V,3185,782,63,391,88
