"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",296,22,139,43,624
"BRAC",459,46,233,33,961
"North Texas RAC",352,18,127,7,830
"Big Country RAC",288,17,106,18,516
"North Central Texas RAC",2300,249,2216,568,11980
"Northeast Texas RAC",430,38,90,16,557
"Piney Woods RAC",1042,62,353,74,1746
"Deep East Texas RAC",218,19,82,28,246
"Far West Texas & Southern New Mexico RAC",464,70,300,183,1428
"Texas ""J"" RAC",673,31,267,35,795
"Concho Valley RAC",343,21,173,5,330
"Central Texas RAC",170,19,116,47,863
"Central Texas RAC",130,10,64,32,445
"Brazos Valley RAC",100,4,66,39,362
"Capital Area Trauma RAC",856,91,341,190,3295
"Southwest Texas RAC",1133,132,834,235,4590
"Southeast Texas Trauma RAC",1959,109,1531,1140,11517
"East Texas Gulf Coast RAC",377,14,358,169,1324
"Golden Crescent RAC",299,24,67,21,250
"Seven Flags RAC",136,19,91,13,308
"Coastal Bend RAC",579,29,192,82,1019
"Lower Rio Grande Valley RAC",1016,147,455,168,2025
