"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",270,9,149,28,570
"BRAC",359,15,234,36,1067
"North Texas RAC",290,5,91,8,842
"Big Country RAC",259,6,98,22,450
"North Central Texas RAC",2060,232,2206,487,12111
"Northeast Texas RAC",419,42,98,29,529
"Piney Woods RAC",910,57,290,97,1797
"Deep East Texas RAC",189,18,111,36,333
"Far West Texas & Southern New Mexico RAC",393,49,280,177,1501
"Texas ""J"" RAC",636,32,270,46,767
"Concho Valley RAC",342,21,118,4,334
"Central Texas RAC",168,15,120,53,892
"Central Texas RAC",142,6,69,13,413
"Brazos Valley RAC",70,4,67,29,358
"Capital Area Trauma RAC",691,73,333,153,3185
"Southwest Texas RAC",814,112,832,272,4682
"Southeast Texas Trauma RAC",2030,134,1587,852,11554
"East Texas Gulf Coast RAC",328,22,266,117,1423
"Golden Crescent RAC",283,18,66,36,262
"Seven Flags RAC",45,5,90,19,323
"Coastal Bend RAC",604,22,189,71,984
"Lower Rio Grande Valley RAC",835,68,453,194,2072
