TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,949,228,2,150,30
B,1541,307,16,223,52
C,1208,276,4,101,19
D,938,249,10,79,20
E,16254,1435,129,2126,719
F,1042,348,29,62,56
G,2837,693,33,216,128
H,560,198,13,88,11
I,2035,287,33,261,67
J,1822,719,30,268,34
K,870,347,18,86,9
L,1157,101,9,105,65
M,637,106,5,65,23
N,596,49,3,80,45
O,4703,667,47,349,178
P,6490,723,87,805,276
Q,14900,1628,132,1460,557
R,1444,161,18,250,92
S,601,173,6,57,26
T,489,30,0,76,19
U,1667,518,39,198,71
V,3163,755,49,380,156
