TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,995,231,21,119,171
B,1438,237,8,206,266
C,1197,245,5,115,101
D,883,188,1,82,130
E,15564,1241,69,1886,3137
F,868,149,3,122,204
G,2766,588,13,196,646
H,521,123,4,70,160
I,1975,288,26,253,123
J,1693,509,20,262,291
K,877,353,12,98,70
L,1116,102,2,116,272
M,619,71,1,37,201
N,564,45,0,71,151
O,4150,437,5,308,710
P,6737,603,51,603,1424
Q,13769,1416,66,1205,3148
R,1777,180,20,197,517
S,581,138,4,43,173
T,420,7,0,56,84
U,1419,117,0,104,497
V,2723,396,16,313,687
