"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1096,311,31,131,62
"B",1512,338,19,257,75
"C",1248,320,8,139,50
"D",1034,254,3,97,44
"E",16488,1530,105,1994,1748
"F",1078,391,15,93,90
"G",3053,645,25,353,231
"H",708,199,8,80,66
"I",2164,366,49,302,400
"J",1701,569,26,241,77
"K",839,326,20,141,21
"L",1156,117,10,105,92
"M",649,83,4,69,66
"N",618,84,5,81,53
"O",4376,604,44,335,374
"P",6683,732,74,744,716
"Q",12813,1651,100,1133,1694
"R",1785,325,18,234,229
"S",645,251,20,59,63
"T",518,79,8,90,75
"U",1755,561,21,168,144
"V",3607,942,168,386,354
