"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",309,21,136,48,617
"BRAC",437,41,280,33,855
"North Texas RAC",397,24,131,14,805
"Big Country RAC",291,7,108,17,494
"North Central Texas RAC",2259,225,2225,693,11683
"Northeast Texas RAC",478,29,91,23,536
"Piney Woods RAC",1106,64,333,83,1706
"Deep East Texas RAC",258,13,111,34,321
"Far West Texas & Southern New Mexico RAC",604,63,308,217,1439
"Texas ""J"" RAC",677,31,288,38,826
"Concho Valley RAC",380,26,159,5,280
"Central Texas RAC",152,12,125,37,834
"Central Texas RAC",148,5,67,26,413
"Brazos Valley RAC",93,3,74,37,369
"Capital Area Trauma RAC",870,98,362,203,3184
"Southwest Texas RAC",1326,135,810,269,4454
"Southeast Texas Trauma RAC",2055,108,1452,1164,11144
"East Texas Gulf Coast RAC",410,53,301,179,1373
"Golden Crescent RAC",325,21,69,26,248
"Seven Flags RAC",108,18,91,24,292
"Coastal Bend RAC",652,52,196,82,982
"Lower Rio Grande Valley RAC",1003,100,444,195,1958
