TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1032,245,18,117,137
B,1357,275,7,161,178
C,1198,290,3,84,98
D,924,251,1,76,99
E,16037,1489,60,1846,2288
F,819,138,10,86,137
G,2800,661,24,255,467
H,457,142,6,75,106
I,1910,235,13,280,112
J,1632,541,15,277,154
K,863,341,6,132,46
L,1089,141,11,164,139
M,697,83,1,60,113
N,586,52,1,71,86
O,4188,677,47,427,359
P,6493,919,115,726,649
Q,14528,1782,82,1388,1762
R,1843,254,5,364,235
S,632,236,17,60,102
T,408,34,5,79,21
U,1259,117,1,172,223
V,2759,581,25,374,258
