"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",305,12,153,31,560
"BRAC",430,21,258,35,1060
"North Texas RAC",308,9,133,4,826
"Big Country RAC",245,3,99,3,517
"North Central Texas RAC",2040,250,2211,545,12639
"Northeast Texas RAC",419,43,100,16,526
"Piney Woods RAC",935,49,305,74,1798
"Deep East Texas RAC",188,13,120,29,340
"Far West Texas & Southern New Mexico RAC",332,43,306,174,1537
"Texas ""J"" RAC",686,32,272,42,802
"Concho Valley RAC",322,19,134,5,346
"Central Texas RAC",143,16,120,51,851
"Central Texas RAC",167,17,74,16,394
"Brazos Valley RAC",128,17,88,21,359
"Capital Area Trauma RAC",567,55,337,192,3425
"Southwest Texas RAC",835,105,846,243,4823
"Southeast Texas Trauma RAC",1594,120,1474,954,11402
"East Texas Gulf Coast RAC",328,12,270,141,1468
"Golden Crescent RAC",264,22,63,36,292
"Seven Flags RAC",71,7,92,19,328
"Coastal Bend RAC",666,45,198,58,985
"Lower Rio Grande Valley RAC",864,69,459,199,2012
