TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,940,229,11,129,103
B,1417,229,17,228,146
C,1206,285,3,105,37
D,898,231,4,92,81
E,16114,1347,95,1979,1907
F,888,168,15,76,139
G,2813,654,30,199,298
H,539,119,14,107,64
I,2047,279,24,278,73
J,1680,604,27,260,107
K,880,347,15,68,46
L,1104,93,9,94,204
M,625,111,11,57,97
N,584,66,1,82,87
O,4593,477,19,314,506
P,6605,611,74,723,850
Q,14333,1270,43,1380,1888
R,1758,178,9,256,321
S,527,108,11,49,91
T,436,9,0,72,46
U,1687,536,30,189,214
V,3058,603,35,350,380
