"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",306,35,137,43,647
"BRAC",381,30,229,34,1060
"North Texas RAC",327,11,124,13,843
"Big Country RAC",258,11,106,12,595
"North Central Texas RAC",1927,194,2171,698,13176
"Northeast Texas RAC",396,30,89,19,583
"Piney Woods RAC",868,55,346,71,1943
"Deep East Texas RAC",139,6,113,35,396
"Far West Texas & Southern New Mexico RAC",396,69,308,200,1558
"Texas ""J"" RAC",625,24,276,33,880
"Concho Valley RAC",325,15,161,4,352
"Central Texas RAC",156,12,120,46,936
"Central Texas RAC",108,11,64,36,474
"Brazos Valley RAC",54,0,72,36,417
"Capital Area Trauma RAC",797,85,344,209,3491
"Southwest Texas RAC",1010,129,829,236,4862
"Southeast Texas Trauma RAC",1938,198,1439,1209,12284
"East Texas Gulf Coast RAC",325,19,352,177,1517
"Golden Crescent RAC",288,20,75,25,279
"Seven Flags RAC",89,13,91,12,358
"Coastal Bend RAC",547,34,181,91,1095
"Lower Rio Grande Valley RAC",950,127,457,176,2203
