TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1042,229,16,114,158
B,1478,299,7,165,191
C,1196,285,6,84,99
D,928,260,2,80,93
E,16132,1620,69,1994,2312
F,835,133,9,81,146
G,2771,597,23,257,512
H,572,173,7,88,108
I,1918,246,10,283,110
J,1654,527,17,283,160
K,854,335,10,134,46
L,1106,111,12,160,142
M,676,102,1,58,122
N,578,56,1,68,89
O,4262,678,45,413,365
P,6602,950,106,731,653
Q,14479,1738,86,1370,1777
R,1748,226,5,252,250
S,616,222,13,59,95
T,422,39,5,84,20
U,1305,97,16,172,236
V,2776,620,21,360,250
