"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1214,327,23,162,249
"B",1557,352,30,266,338
"C",1223,278,4,102,146
"D",951,214,0,82,193
"E",15963,1472,65,1801,3714
"F",1095,343,4,74,204
"G",3129,780,20,221,630
"H",559,141,12,92,127
"I",2127,483,63,351,363
"J",1801,688,47,245,203
"K",853,308,23,112,112
"L",1037,181,15,94,184
"M",470,85,4,60,107
"N",595,60,1,48,145
"O",3932,757,52,254,541
"P",6676,1183,80,646,1268
"Q",10504,1956,73,1257,2364
"R",1884,288,8,251,371
"S",553,196,7,65,107
"T",491,67,12,66,184
"U",1612,515,26,197,212
"V",3499,1002,57,411,557
