"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Date","Hospital_Beds_Taken"
"A",1267,630,58,145,53,"09/09/20",584
"B",1333,480,40,232,68,"09/09/20",785
"C",666,318,15,112,33,"09/09/20",315
"D",780,312,6,79,28,"09/09/20",440
"E",13023,2300,379,1732,771,"09/09/20",9952
"F",871,268,17,81,71,"09/09/20",532
"G",1991,480,29,290,180,"09/09/20",1331
"H",520,182,13,96,48,"09/09/20",290
"I",1716,435,30,289,115,"09/09/20",1166
"J",1218,538,48,222,62,"09/09/20",618
"K",641,394,29,97,26,"09/09/20",221
"L",1081,296,33,100,46,"09/09/20",739
"M",504,168,16,62,35,"09/09/20",301
"N",475,179,9,65,22,"09/09/20",274
"O",3028,643,93,509,135,"09/09/20",2250
"P",5124,1178,179,847,339,"09/09/20",3607
"Q",13060,2158,179,1414,643,"09/09/20",10259
"R",1726,258,26,238,188,"09/09/20",1280
"S",463,168,24,67,61,"09/09/20",234
"T",455,52,13,62,124,"09/09/20",279
"U",1552,581,49,238,131,"09/09/20",840
"V",2586,967,138,424,425,"09/09/20",1194
