TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,996,266,8,153,21
B,1589,358,25,240,26
C,1211,253,4,100,7
D,933,227,10,111,10
E,15806,1606,186,2116,351
F,1028,353,40,82,38
G,2943,736,29,226,56
H,575,129,15,116,9
I,2036,325,33,273,45
J,1721,650,31,271,12
K,871,345,21,106,1
L,1136,119,11,86,29
M,651,145,13,61,10
N,576,72,4,89,25
O,4496,657,61,364,67
P,6423,690,80,800,169
Q,14482,1507,161,1478,399
R,1786,287,32,252,48
S,607,246,14,54,15
T,455,36,0,66,18
U,1729,604,40,191,34
V,2994,789,51,416,91
