"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",297,37,140,27,645
"BRAC",389,37,251,32,1037
"North Texas RAC",302,6,128,9,861
"Big Country RAC",271,8,105,15,599
"North Central Texas RAC",2018,245,2239,548,13062
"Northeast Texas RAC",421,31,87,21,537
"Piney Woods RAC",909,62,342,66,1889
"Deep East Texas RAC",192,8,125,24,373
"Far West Texas & Southern New Mexico RAC",374,59,302,163,1536
"Texas ""J"" RAC",657,34,269,25,845
"Concho Valley RAC",340,15,143,5,338
"Central Texas RAC",143,14,120,49,887
"Central Texas RAC",118,10,60,20,452
"Brazos Valley RAC",120,6,78,39,366
"Capital Area Trauma RAC",837,94,358,182,3444
"Southwest Texas RAC",823,110,835,218,4903
"Southeast Texas Trauma RAC",1866,139,1555,1052,11610
"East Texas Gulf Coast RAC",304,17,314,165,1493
"Golden Crescent RAC",322,24,71,26,282
"Seven Flags RAC",64,9,90,8,331
"Coastal Bend RAC",559,22,192,78,1025
"Lower Rio Grande Valley RAC",984,125,433,156,2208
