TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1066,237,16,108,166
B,1596,240,11,161,288
C,1189,218,3,108,131
D,990,209,0,79,172
E,16557,1094,64,1861,3590
F,881,120,2,62,225
G,2769,477,10,121,796
H,581,121,3,83,169
I,2105,244,8,222,128
J,1768,503,13,257,263
K,869,312,2,81,69
L,1202,87,7,145,197
M,604,40,0,63,214
N,579,29,1,73,148
O,4308,496,8,339,624
P,6766,661,54,603,1176
Q,15384,1412,88,1304,3239
R,2070,198,6,245,540
S,606,151,6,63,180
T,469,19,2,78,60
U,1356,35,0,122,416
V,2903,482,26,271,494
