TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,981,248,21,114,171
B,1448,249,11,208,256
C,1186,245,2,115,94
D,890,191,0,77,130
E,15951,1430,86,1895,3233
F,846,134,5,52,208
G,2645,513,12,206,680
H,606,170,5,65,157
I,1995,290,20,253,126
J,1671,492,22,256,288
K,872,349,9,81,74
L,1145,106,4,111,271
M,610,71,1,37,204
N,566,37,0,66,135
O,4147,477,10,310,726
P,6450,581,52,589,1422
Q,14529,1456,62,1027,3450
R,1825,160,13,246,566
S,607,122,3,41,178
T,412,15,0,62,87
U,1421,121,0,105,526
V,2766,441,27,258,684
