"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",304,27,133,42,645
"BRAC",377,42,270,50,1091
"North Texas RAC",365,10,130,14,797
"Big Country RAC",277,9,109,17,565
"North Central Texas RAC",2060,206,2259,858,12781
"Northeast Texas RAC",433,26,92,31,568
"Piney Woods RAC",1087,52,342,124,1740
"Deep East Texas RAC",238,16,95,39,239
"Far West Texas & Southern New Mexico RAC",398,55,307,250,1575
"Texas ""J"" RAC",615,31,283,50,879
"Concho Valley RAC",348,20,145,9,320
"Central Texas RAC",154,15,109,45,826
"Central Texas RAC",163,12,66,27,403
"Brazos Valley RAC",94,0,70,43,370
"Capital Area Trauma RAC",674,67,347,236,3453
"Southwest Texas RAC",1082,150,823,330,4712
"Southeast Texas Trauma RAC",1802,144,1363,1335,11819
"East Texas Gulf Coast RAC",352,18,361,185,1478
"Golden Crescent RAC",285,26,70,30,261
"Seven Flags RAC",100,17,94,27,306
"Coastal Bend RAC",449,29,180,100,1155
"Lower Rio Grande Valley RAC",926,153,445,251,2227
