TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1084,235,15,113,168
B,1437,188,7,165,233
C,1180,245,2,108,114
D,955,208,0,86,126
E,16721,1157,51,1767,2989
F,919,110,2,61,182
G,2843,502,11,187,702
H,588,111,4,74,151
I,2035,217,4,295,111
J,1708,559,14,275,205
K,858,289,4,130,69
L,1117,87,1,137,227
M,636,57,2,53,187
N,599,26,0,79,115
O,4392,546,3,377,515
P,6851,747,71,666,915
Q,15588,1333,64,1164,2519
R,2096,224,8,290,383
S,603,140,7,55,128
T,463,20,3,79,45
U,1414,52,3,159,332
V,2849,578,23,332,357
