"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",322,37,149,23,634
"BRAC",340,30,260,38,1070
"North Texas RAC",309,8,132,9,856
"Big Country RAC",259,3,99,17,575
"North Central Texas RAC",1755,198,2234,538,13202
"Northeast Texas RAC",424,36,99,23,568
"Piney Woods RAC",797,41,319,62,1912
"Deep East Texas RAC",152,13,125,27,383
"Far West Texas & Southern New Mexico RAC",363,66,292,160,1526
"Texas ""J"" RAC",661,31,295,33,817
"Concho Valley RAC",326,18,152,2,345
"Central Texas RAC",124,14,113,52,913
"Central Texas RAC",124,9,73,20,454
"Brazos Valley RAC",97,5,77,34,359
"Capital Area Trauma RAC",827,79,353,181,3460
"Southwest Texas RAC",743,93,852,250,4948
"Southeast Texas Trauma RAC",1823,100,1481,924,11855
"East Texas Gulf Coast RAC",326,20,353,122,1405
"Golden Crescent RAC",315,18,64,20,279
"Seven Flags RAC",86,19,91,6,354
"Coastal Bend RAC",541,26,187,75,1040
"Lower Rio Grande Valley RAC",907,88,433,188,2179
