"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",440127,1184,326,23,167
"B",513580,1488,291,14,249
"C",219793,1206,274,5,97
"D",306972,929,221,0,80
"E",8080080,15700,1508,61,1689
"F",273329,1039,319,3,64
"G",968611,3054,755,16,215
"H",272151,543,111,8,98
"I",881765,2108,447,69,356
"J",526736,1754,661,46,245
"K",179457,863,319,22,110
"L",490708,1105,197,17,99
"M",346651,551,77,6,57
"N",360335,621,63,0,45
"O",2375407,3495,399,63,305
"P",2945792,6588,998,69,652
"Q",6688587,13141,1944,97,1352
"R",1309237,1928,286,9,239
"S",186672,579,217,9,60
"T",295669,480,24,2,64
"U",630897,1646,564,33,175
"V",1385112,3428,980,54,383
