TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,995,230,16,121,159
B,1459,222,14,198,289
C,1210,263,3,112,92
D,929,218,0,80,112
E,16280,1177,73,1924,2997
F,886,141,6,108,183
G,2814,558,19,199,610
H,501,78,0,48,126
I,1981,258,26,257,113
J,1680,500,19,263,263
K,872,345,11,106,64
L,1133,84,2,112,252
M,628,71,0,30,178
N,576,38,0,66,142
O,4187,445,3,302,698
P,6725,520,55,595,1347
Q,14643,1380,55,1096,3277
R,1772,170,3,176,551
S,574,116,10,41,167
T,438,10,0,53,81
U,1425,116,0,94,477
V,2802,373,15,293,663
