TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1102,226,18,116,164
B,1478,260,13,168,219
C,1205,284,4,83,94
D,910,230,0,76,114
E,15872,1403,68,1968,2833
F,846,134,3,71,151
G,2778,586,17,200,629
H,531,148,2,63,143
I,1971,239,6,292,103
J,1664,556,16,281,206
K,848,302,8,124,67
L,1081,117,6,156,188
M,644,57,1,72,161
N,572,29,0,80,107
O,4253,631,17,401,414
P,6697,928,91,690,785
Q,14806,1458,74,1110,2235
R,1750,191,2,289,338
S,625,202,13,56,114
T,432,39,10,80,39
U,1226,56,1,171,272
V,2775,637,40,348,343
