TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,945,273,7,153,21
B,1558,424,35,278,30
C,1213,289,9,102,6
D,958,261,5,98,12
E,15954,1906,244,2164,292
F,1050,361,39,89,26
G,2808,712,44,270,58
H,608,149,14,122,18
I,2093,368,42,252,64
J,1732,676,29,301,16
K,870,355,21,105,7
L,1073,125,7,104,22
M,638,141,7,59,16
N,594,85,2,69,21
O,4474,662,61,362,80
P,6435,761,99,786,149
Q,14919,1717,159,1517,467
R,1736,226,16,271,46
S,583,182,13,52,37
T,462,58,5,71,13
U,1796,708,39,190,39
V,3010,728,57,442,122
