TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,930,265,8,147,25
B,1485,352,31,243,29
C,1216,287,1,101,14
D,876,231,6,88,20
E,15496,1818,183,2164,610
F,1015,406,39,67,45
G,2833,800,45,229,95
H,589,193,22,112,13
I,1918,300,26,260,56
J,1724,708,30,274,29
K,868,368,25,76,4
L,1147,141,12,101,48
M,674,188,21,69,19
N,555,84,6,78,43
O,4484,697,48,358,132
P,6285,874,98,781,238
Q,14361,1749,105,1345,508
R,1691,233,17,231,94
S,581,185,12,54,26
T,448,32,0,82,18
U,1648,533,52,192,62
V,3106,765,34,400,154
