TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,962,214,11,135,105
B,1465,240,16,225,155
C,1183,256,2,105,56
D,908,217,3,89,89
E,16215,1286,104,1981,2013
F,934,165,13,118,146
G,2754,578,30,201,352
H,552,108,3,103,70
I,2060,248,23,270,75
J,1708,566,17,250,137
K,881,350,16,81,53
L,1130,74,4,87,210
M,660,108,13,82,117
N,578,55,3,84,85
O,4634,459,19,309,554
P,6838,539,64,705,945
Q,14799,1402,60,1258,2066
R,1815,188,6,270,388
S,552,119,4,53,120
T,440,4,0,73,51
U,1395,222,10,194,269
V,3082,577,29,330,466
