TSA,Hospital_Beds_Staffed,AvailHospi,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1000,316,17,145,26
B,1544,322,27,241,29
C,1255,271,7,97,14
D,918,243,5,104,18
E,16268,1713,212,2193,526
F,1056,362,42,90,33
G,2900,736,53,300,94
H,636,144,10,128,18
I,2193,352,50,257,130
J,1791,691,33,268,35
K,866,330,23,120,4
L,1128,110,8,112,34
M,618,131,7,71,18
N,577,89,7,66,27
O,4358,570,56,358,122
P,6385,719,86,793,235
Q,14390,1573,123,1543,795
R,1781,306,15,247,99
S,618,214,13,63,40
T,473,57,6,86,15
U,1775,680,39,189,60
V,3231,697,64,402,196
