"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1161,342,27,165,190
"B",1568,329,19,237,263
"C",1226,275,9,130,109
"D",1003,232,1,73,175
"E",17080,1492,95,1735,3773
"F",1104,389,16,78,174
"G",3138,768,24,269,529
"H",633,124,2,94,114
"I",2277,384,67,345,468
"J",1785,576,38,235,174
"K",838,299,13,115,85
"L",1079,81,2,173,217
"M",678,108,11,62,144
"N",601,73,0,72,121
"O",4366,662,57,337,657
"P",6995,924,80,656,1643
"Q",14692,1482,66,1306,2760
"R",1948,289,14,235,368
"S",681,279,13,52,142
"T",550,25,1,33,253
"U",1726,478,25,174,231
"V",3369,632,34,357,719
