TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,946,258,7,156,22
B,1570,369,33,261,20
C,1156,252,3,104,5
D,941,239,7,97,13
E,16068,1744,200,2161,328
F,1029,360,36,87,30
G,2852,776,57,308,51
H,486,106,13,97,14
I,2171,387,51,245,52
J,1722,658,25,276,15
K,872,340,17,107,5
L,1115,112,15,99,25
M,642,142,8,66,11
N,603,99,10,66,30
O,4490,634,46,360,87
P,6225,625,95,816,143
Q,14802,1541,119,1450,462
R,1895,279,8,238,65
S,595,188,16,58,25
T,451,59,2,69,14
U,1716,583,53,177,42
V,3079,707,55,421,119
