TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1038,316,8,127,72
B,1485,268,14,226,120
C,1222,296,6,104,32
D,933,222,3,91,48
E,16109,1369,134,2088,1293
F,1036,326,33,58,86
G,2829,686,41,236,201
H,546,75,11,110,39
I,2056,298,34,276,73
J,1759,649,24,254,72
K,879,373,16,88,27
L,1105,103,9,101,150
M,642,100,5,70,61
N,564,50,0,63,65
O,4584,586,31,314,342
P,6444,518,64,750,568
Q,14283,1481,86,1269,1302
R,1705,145,7,253,232
S,525,83,6,51,59
T,441,35,1,79,45
U,1691,529,41,177,146
V,3067,656,43,383,259
