"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",317,26,139,21,603
"BRAC",367,35,258,38,1018
"North Texas RAC",319,4,120,6,849
"Big Country RAC",261,7,95,14,568
"North Central Texas RAC",2033,218,2289,580,12697
"Northeast Texas RAC",416,35,99,18,513
"Piney Woods RAC",917,73,339,62,1767
"Deep East Texas RAC",185,9,120,25,368
"Far West Texas & Southern New Mexico RAC",377,60,297,158,1502
"Texas ""J"" RAC",622,19,286,36,929
"Concho Valley RAC",344,16,156,0,338
"Central Texas RAC",159,23,127,45,903
"Central Texas RAC",167,12,70,17,416
"Brazos Valley RAC",103,1,79,35,365
"Capital Area Trauma RAC",845,89,355,180,3298
"Southwest Texas RAC",878,113,823,236,4645
"Southeast Texas Trauma RAC",1805,97,1368,984,11533
"East Texas Gulf Coast RAC",380,22,265,139,1415
"Golden Crescent RAC",304,22,66,18,283
"Seven Flags RAC",81,11,87,18,347
"Coastal Bend RAC",592,13,187,73,1021
"Lower Rio Grande Valley RAC",959,94,430,183,2157
