TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,929,264,9,145,20
B,1547,374,26,261,20
C,1232,291,6,98,8
D,854,246,7,107,12
E,15528,1989,234,2176,319
F,1035,383,38,79,35
G,2924,898,42,254,56
H,553,158,14,123,15
I,2044,368,44,249,41
J,1695,659,39,277,13
K,872,371,24,110,3
L,1078,117,11,101,27
M,636,172,16,56,12
N,545,93,3,68,33
O,4414,636,59,371,94
P,6304,840,106,782,155
Q,14252,1982,145,1533,411
R,1582,209,12,295,48
S,584,217,17,52,22
T,409,36,0,71,11
U,1770,682,42,189,35
V,2994,706,40,431,113
