TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1057,227,14,107,167
B,1461,205,8,236,274
C,1197,237,4,112,114
D,901,172,1,77,166
E,16077,1259,64,1947,3232
F,851,152,5,59,176
G,2750,546,11,211,735
H,518,113,7,94,167
I,2001,259,17,247,122
J,1683,501,17,278,286
K,891,349,14,132,81
L,1182,76,1,113,284
M,617,72,0,38,182
N,559,36,0,65,156
O,4299,466,4,320,736
P,6834,825,92,598,1279
Q,14812,1481,59,985,3415
R,1869,187,0,292,597
S,591,132,1,41,181
T,447,12,0,68,89
U,1415,121,0,125,504
V,2880,402,21,246,614
