TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1292,311,8,254,75
B,1492,305,20,224,102
C,1223,315,4,105,31
D,869,214,2,87,39
E,15849,1606,147,2105,1146
F,1022,336,35,58,71
G,2828,740,42,239,180
H,545,125,14,110,34
I,2039,336,33,278,69
J,1448,608,32,141,37
K,880,371,16,80,17
L,1097,88,5,103,127
M,657,131,5,52,60
N,570,93,3,67,57
O,4490,648,43,342,312
P,6373,732,57,753,492
Q,14264,1507,80,1498,1120
R,1653,188,11,230,190
S,575,187,7,50,49
T,417,36,0,78,40
U,1716,587,51,178,120
V,3085,728,51,396,258
