TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,952,271,6,151,19
B,1515,361,25,257,21
C,1217,274,5,98,8
D,908,233,7,108,11
E,15884,1673,198,2125,312
F,1043,357,39,85,39
G,2840,751,21,242,56
H,607,139,15,116,17
I,2059,327,36,242,47
J,1699,611,31,276,15
K,871,346,23,98,0
L,1121,127,13,98,31
M,660,166,13,62,9
N,601,72,7,78,33
O,4427,697,85,362,88
P,6316,598,55,800,162
Q,14240,1753,148,1442,401
R,1725,255,13,266,50
S,591,197,10,51,19
T,435,34,2,71,13
U,1727,656,53,208,43
V,3048,708,38,437,113
