"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1332,512,13,125,152,668
"B",1498,321,21,193,186,991
"C",1212,350,10,107,47,815
"D",957,302,1,86,37,618
"E",14396,2024,271,1776,1022,11350
"F",1001,389,14,83,83,529
"G",2699,724,29,303,234,1741
"H",643,215,22,103,46,382
"I",2062,373,15,306,313,1376
"J",1743,664,33,224,108,971
"K",550,219,15,67,18,313
"L",1149,313,35,113,37,799
"M",647,143,12,61,58,446
"N",623,182,4,53,29,412
"O",4216,741,69,514,91,3384
"P",6503,1591,188,817,232,4680
"Q",14935,2212,190,1542,562,12161
"R",1869,275,9,233,162,1432
"S",573,170,33,73,49,354
"T",463,77,11,72,64,322
"U",1739,628,57,238,88,1023
"V",3376,1088,95,376,252,2036
