"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1099,196,7,133,402
"B",1580,282,17,214,392
"C",1303,330,10,109,127
"D",976,264,2,73,89
"E",16455,1641,145,1892,2015
"F",1066,358,10,83,124
"G",2894,652,28,295,341
"H",597,157,17,111,45
"I",2552,407,61,252,1037
"J",1729,540,35,199,239
"K",588,191,19,70,69
"L",1309,315,32,112,56
"M",654,128,7,63,66
"N",626,75,7,58,72
"O",4509,761,67,542,177
"P",5079,933,118,546,410
"Q",18898,2036,143,1570,809
"R",1702,195,11,231,186
"S",619,140,40,90,53
"T",479,41,10,70,72
"U",1620,550,53,206,118
"V",3487,920,71,391,252
