"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",298,33,138,45,647
"BRAC",422,48,275,33,911
"North Texas RAC",372,18,133,11,786
"Big Country RAC",286,7,108,15,498
"North Central Texas RAC",2312,241,2269,714,12009
"Northeast Texas RAC",450,27,90,21,548
"Piney Woods RAC",1015,69,330,91,1719
"Deep East Texas RAC",168,10,87,36,365
"Far West Texas & Southern New Mexico RAC",438,69,304,208,1433
"Texas ""J"" RAC",624,32,289,37,830
"Concho Valley RAC",375,24,157,6,290
"Central Texas RAC",139,9,120,29,877
"Central Texas RAC",136,5,66,28,427
"Brazos Valley RAC",113,8,77,38,367
"Capital Area Trauma RAC",892,103,358,208,3156
"Southwest Texas RAC",1193,131,795,257,4510
"Southeast Texas Trauma RAC",1981,140,1560,1223,11331
"East Texas Gulf Coast RAC",322,11,315,183,1435
"Golden Crescent RAC",340,23,71,23,239
"Seven Flags RAC",96,11,90,19,295
"Coastal Bend RAC",643,53,190,87,977
"Lower Rio Grande Valley RAC",1005,114,445,186,2056
