TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,944,269,13,154,21
B,1546,392,40,252,38
C,1206,313,6,102,6
D,844,248,4,100,11
E,15450,2294,251,2196,297
F,1033,376,34,87,24
G,2754,777,54,273,64
H,590,167,19,130,16
I,1976,378,47,242,72
J,1767,712,49,298,19
K,865,356,23,113,9
L,1105,149,15,108,20
M,652,161,9,61,17
N,578,85,8,67,24
O,4244,726,83,371,94
P,6246,827,137,799,155
Q,13722,2040,158,1513,490
R,1711,266,14,253,57
S,601,239,20,56,36
T,405,61,2,70,15
U,1695,651,43,189,41
V,2918,719,60,430,116
