TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,959,223,3,149,29
B,1509,296,20,228,60
C,1218,282,2,101,20
D,945,275,9,84,21
E,16273,1481,148,2114,747
F,1060,360,39,68,56
G,2850,700,41,205,133
H,549,110,14,109,14
I,2013,305,35,258,62
J,1836,722,26,250,37
K,866,350,16,90,9
L,1138,99,10,108,68
M,629,125,8,65,22
N,605,69,0,79,49
O,4667,656,42,352,198
P,6465,680,77,802,280
Q,14885,1677,143,1428,633
R,1639,164,19,249,109
S,599,179,8,52,30
T,468,33,2,76,17
U,1694,541,33,183,77
V,3140,722,48,380,163
