TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,949,254,6,148,23
B,1557,382,32,255,18
C,1215,255,4,100,8
D,925,257,14,109,8
E,16080,1820,204,2145,399
F,1032,386,35,82,33
G,2873,745,40,233,58
H,568,151,15,124,10
I,2063,341,30,251,44
J,1762,697,38,266,13
K,881,377,22,98,0
L,1101,117,10,102,35
M,660,162,17,64,12
N,571,98,2,79,34
O,4718,723,48,361,77
P,6379,789,93,817,170
Q,14487,1687,154,1446,420
R,1778,236,30,254,61
S,606,202,16,53,17
T,407,44,2,72,18
U,1773,609,53,188,38
V,3167,742,51,392,93
