"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",294,15,150,27,586
"BRAC",339,18,240,28,1116
"North Texas RAC",294,8,114,5,828
"Big Country RAC",231,0,95,12,596
"North Central Texas RAC",1810,214,2231,535,13051
"Northeast Texas RAC",378,29,95,20,569
"Piney Woods RAC",755,33,301,83,1933
"Deep East Texas RAC",112,12,117,40,390
"Far West Texas & Southern New Mexico RAC",333,51,284,164,1528
"Texas ""J"" RAC",658,27,269,49,794
"Concho Valley RAC",323,18,118,7,346
"Central Texas RAC",152,12,107,38,920
"Central Texas RAC",110,7,73,20,452
"Brazos Valley RAC",87,4,83,31,396
"Capital Area Trauma RAC",589,41,342,163,3518
"Southwest Texas RAC",772,96,831,269,4918
"Southeast Texas Trauma RAC",1772,160,1481,991,11735
"East Texas Gulf Coast RAC",336,14,267,125,1499
"Golden Crescent RAC",274,17,68,40,285
"Seven Flags RAC",61,5,94,21,381
"Coastal Bend RAC",593,33,197,68,1002
"Lower Rio Grande Valley RAC",839,69,446,199,2205
