"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",275,24,130,45,668
"BRAC",349,19,266,61,1087
"North Texas RAC",333,9,125,18,840
"Big Country RAC",269,4,106,19,550
"North Central Texas RAC",2000,220,2156,926,13153
"Northeast Texas RAC",392,26,96,37,598
"Piney Woods RAC",718,40,342,128,1921
"Deep East Texas RAC",154,15,106,43,391
"Far West Texas & Southern New Mexico RAC",335,46,307,259,1621
"Texas ""J"" RAC",597,29,267,45,903
"Concho Valley RAC",336,20,147,8,319
"Central Texas RAC",138,14,104,54,906
"Central Texas RAC",133,13,66,36,446
"Brazos Valley RAC",94,3,70,45,419
"Capital Area Trauma RAC",648,60,350,255,3585
"Southwest Texas RAC",907,99,805,343,5000
"Southeast Texas Trauma RAC",1520,85,1287,1440,12379
"East Texas Gulf Coast RAC",390,11,306,195,1590
"Golden Crescent RAC",258,24,67,38,301
"Seven Flags RAC",123,22,98,29,352
"Coastal Bend RAC",566,28,180,103,1074
"Lower Rio Grande Valley RAC",976,188,442,279,2225
