TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,958,231,11,128,128
B,1459,231,15,209,218
C,1204,254,2,100,80
D,882,183,1,71,123
E,16029,1208,72,1969,2718
F,868,116,1,114,178
G,2738,511,13,186,509
H,525,99,2,78,119
I,2116,285,22,259,86
J,1670,551,16,247,219
K,875,351,15,114,62
L,1121,81,3,131,235
M,623,63,0,59,147
N,560,33,0,71,137
O,4229,427,5,297,668
P,6873,535,59,651,1233
Q,15159,1415,72,1339,2757
R,1760,119,2,190,516
S,594,119,6,48,143
T,467,6,0,54,89
U,1371,113,0,125,416
V,2874,352,10,319,600
