TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1018,246,7,145,48
B,1560,306,15,203,81
C,1233,296,1,104,32
D,917,214,5,88,32
E,16644,1389,133,2117,1051
F,1031,331,32,64,68
G,2882,727,32,233,166
H,573,147,17,109,29
I,2056,294,29,265,61
J,1789,663,22,251,51
K,881,362,12,80,20
L,1122,82,5,98,126
M,641,110,3,57,43
N,598,71,1,73,60
O,4634,594,38,345,255
P,6572,603,65,778,427
Q,15024,1443,93,1490,1001
R,1740,201,15,247,171
S,583,186,11,49,38
T,485,43,4,77,37
U,1703,560,54,191,105
V,3163,678,56,389,235
