"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",285,17,136,43,646
"BRAC",341,31,285,34,1044
"North Texas RAC",350,17,131,16,815
"Big Country RAC",273,10,117,19,592
"North Central Texas RAC",2143,215,2186,773,12982
"Northeast Texas RAC",391,18,90,25,603
"Piney Woods RAC",780,35,350,103,1953
"Deep East Texas RAC",178,14,110,39,371
"Far West Texas & Southern New Mexico RAC",373,71,303,247,1563
"Texas ""J"" RAC",627,21,279,38,1031
"Concho Valley RAC",341,20,160,10,332
"Central Texas RAC",114,9,124,51,901
"Central Texas RAC",119,7,72,32,464
"Brazos Valley RAC",64,2,58,36,407
"Capital Area Trauma RAC",773,76,345,223,3363
"Southwest Texas RAC",955,136,821,290,4941
"Southeast Texas Trauma RAC",1831,128,1302,1304,12420
"East Texas Gulf Coast RAC",298,14,301,190,1559
"Golden Crescent RAC",313,25,69,27,275
"Seven Flags RAC",77,12,96,19,347
"Coastal Bend RAC",585,45,190,88,1078
"Lower Rio Grande Valley RAC",963,169,456,239,2132
