TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1051,258,19,109,165
B,1399,188,6,175,257
C,1193,237,2,112,115
D,990,213,0,71,172
E,16544,1132,80,1725,3480
F,855,110,2,54,215
G,2814,505,9,142,774
H,485,121,1,78,163
I,2077,224,11,279,114
J,1712,495,11,260,235
K,862,301,10,121,75
L,1182,97,7,131,256
M,609,47,0,56,243
N,598,34,0,69,128
O,4315,507,7,374,602
P,6649,569,62,637,1056
Q,15372,1386,65,1098,2948
R,1908,216,6,247,530
S,638,130,4,58,169
T,448,11,3,88,51
U,1418,35,0,139,414
V,2920,494,21,292,435
