"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1112,379,38,148,84
"B",1569,371,38,278,118
"C",1277,329,10,136,52
"D",1018,257,4,95,67
"E",16942,1629,133,1870,2418
"F",1104,379,15,87,116
"G",3038,699,26,323,352
"H",633,156,17,92,87
"I",2221,366,49,366,384
"J",1767,573,33,232,106
"K",831,301,16,157,34
"L",1172,137,20,102,119
"M",668,124,6,70,87
"N",587,80,3,68,61
"O",4410,763,67,355,462
"P",6974,1071,123,684,1033
"Q",15286,1896,132,1253,2073
"R",2064,361,14,301,287
"S",637,217,15,51,104
"T",541,44,1,86,146
"U",1752,550,26,174,200
"V",3407,732,37,373,543
