"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",283,14,151,28,539
"BRAC",468,33,212,32,1050
"North Texas RAC",306,6,99,9,841
"Big Country RAC",241,6,108,17,498
"North Central Texas RAC",2070,264,2219,468,12145
"Northeast Texas RAC",363,44,96,32,575
"Piney Woods RAC",978,67,265,120,1742
"Deep East Texas RAC",174,15,128,23,257
"Far West Texas & Southern New Mexico RAC",335,39,269,145,1445
"Texas ""J"" RAC",645,30,262,35,808
"Concho Valley RAC",372,19,116,5,304
"Central Texas RAC",143,15,115,35,864
"Central Texas RAC",220,19,72,17,339
"Brazos Valley RAC",102,12,71,39,347
"Capital Area Trauma RAC",627,59,346,136,3309
"Southwest Texas RAC",932,123,796,242,4628
"Southeast Texas Trauma RAC",1766,123,1582,763,11321
"East Texas Gulf Coast RAC",358,30,269,107,1373
"Golden Crescent RAC",279,22,66,39,272
"Seven Flags RAC",64,8,89,17,307
"Coastal Bend RAC",678,34,187,63,964
"Lower Rio Grande Valley RAC",806,63,422,186,2043
