"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",275,16,151,27,574
"BRAC",329,29,236,32,1134
"North Texas RAC",287,5,97,8,868
"Big Country RAC",289,13,103,25,538
"North Central Texas RAC",1735,241,2210,465,13377
"Northeast Texas RAC",348,41,95,28,578
"Piney Woods RAC",770,32,290,100,1933
"Deep East Texas RAC",144,9,114,29,411
"Far West Texas & Southern New Mexico RAC",355,37,270,147,1574
"Texas ""J"" RAC",626,32,267,45,861
"Concho Valley RAC",334,16,116,4,341
"Central Texas RAC",108,15,103,37,936
"Central Texas RAC",108,7,71,22,463
"Brazos Valley RAC",68,10,69,34,389
"Capital Area Trauma RAC",544,42,343,156,3595
"Southwest Texas RAC",679,88,800,257,5040
"Southeast Texas Trauma RAC",1673,137,1549,821,12489
"East Texas Gulf Coast RAC",363,16,299,113,1519
"Golden Crescent RAC",246,13,66,37,307
"Seven Flags RAC",68,10,88,14,355
"Coastal Bend RAC",549,25,189,81,1066
"Lower Rio Grande Valley RAC",748,68,419,200,2278
